AccidentReference,CasualtySeverity,Date_of_Collision,Calendar_Month,Calendar_Year,VehicleReferenceNumber,CasualtyReferenceNumber,CasualtyClass,CasualtySex,CasualtyAge,GIS_Division_Desc,GIS_Local_Authority,Eastings,Northings
0915286,Slight,03-Jan-20,1,2020,1,1,Passenger/Pillion,Female,24,Greater Glasgow,Glasgow City,253387,659525
0915286,Slight,03-Jan-20,1,2020,1,2,Passenger/Pillion,Female,47,Greater Glasgow,Glasgow City,253387,659525
0915315,Slight,03-Jan-20,1,2020,2,1,Passenger/Pillion,Male,18,Greater Glasgow,Glasgow City,253160,661518
0915315,Slight,03-Jan-20,1,2020,2,2,Passenger/Pillion,Female,69,Greater Glasgow,Glasgow City,253160,661518
0915343,Serious,03-Jan-20,1,2020,1,1,Pedestrian,Male,51,Lanarkshire,South Lanarkshire,284143,651871
0915347,Slight,02-Jan-20,1,2020,2,1,Passenger/Pillion,Female,43,Dumfries and Galloway,Dumfries & Galloway,310771,573545
0915347,Slight,02-Jan-20,1,2020,2,2,Driver/Rider,Male,41,Dumfries and Galloway,Dumfries & Galloway,310771,573545
0915350,Serious,03-Jan-20,1,2020,1,1,Driver/Rider,Male,55,Dumfries and Galloway,Dumfries & Galloway,319258,575126
0915353,Serious,03-Jan-20,1,2020,1,1,Driver/Rider,Male,38,Tayside,Angus,333659,734899
0915361,Slight,03-Jan-20,1,2020,2,1,Driver/Rider,Male,39,Forth Valley,Stirling,250771,686999
0915361,Slight,03-Jan-20,1,2020,2,2,Passenger/Pillion,Female,8,Forth Valley,Stirling,250771,686999
0915361,Slight,03-Jan-20,1,2020,2,3,Passenger/Pillion,Male,6,Forth Valley,Stirling,250771,686999
0915383,Slight,03-Jan-20,1,2020,1,2,Passenger/Pillion,Male,19,Forth Valley,Falkirk,285307,675112
0915383,Slight,03-Jan-20,1,2020,2,1,Driver/Rider,Female,75,Forth Valley,Falkirk,285307,675112
0915470,Slight,04-Jan-20,1,2020,1,1,Pedestrian,Female,55,Ayrshire,East Ayrshire,242874,636182
0915471,Slight,04-Jan-20,1,2020,2,1,Driver/Rider,Male,20,Renfrewshire and Inverclyde,Renfrewshire,247872,663679
0915480,Slight,04-Jan-20,1,2020,1,1,Driver/Rider,Male,17,Edinburgh,City of Edinburgh,318124,675077
0915480,Slight,04-Jan-20,1,2020,1,2,Passenger/Pillion,Male,16,Edinburgh,City of Edinburgh,318124,675077
0915480,Slight,04-Jan-20,1,2020,1,3,Passenger/Pillion,Female,16,Edinburgh,City of Edinburgh,318124,675077
0915480,Slight,04-Jan-20,1,2020,1,4,Passenger/Pillion,Female,16,Edinburgh,City of Edinburgh,318124,675077
0915481,Slight,04-Jan-20,1,2020,1,1,Driver/Rider,Female,77,Argyll and West Dunbartonshire,Argyll & Bute,228738,682543
0915481,Slight,04-Jan-20,1,2020,4,2,Driver/Rider,Male,59,Argyll and West Dunbartonshire,Argyll & Bute,228738,682543
0915495,Slight,04-Jan-20,1,2020,1,1,Driver/Rider,Male,25,Edinburgh,City of Edinburgh,312912,678393
0915495,Slight,04-Jan-20,1,2020,2,2,Driver/Rider,Female,76,Edinburgh,City of Edinburgh,312912,678393
0915502,Slight,04-Jan-20,1,2020,1,1,Driver/Rider,Male,88,Edinburgh,City of Edinburgh,319227,673580
0915541,Slight,04-Jan-20,1,2020,1,1,Pedestrian,Male,62,Greater Glasgow,Glasgow City,262309,664823
0915571,Slight,05-Jan-20,1,2020,1,1,Passenger/Pillion,Female,15,Argyll and West Dunbartonshire,Argyll & Bute,225604,704159
0915571,Slight,05-Jan-20,1,2020,1,2,Passenger/Pillion,Male,17,Argyll and West Dunbartonshire,Argyll & Bute,225604,704159
0915571,Slight,05-Jan-20,1,2020,1,3,Driver/Rider,Female,17,Argyll and West Dunbartonshire,Argyll & Bute,225604,704159
0915571,Slight,05-Jan-20,1,2020,1,4,Passenger/Pillion,Female,17,Argyll and West Dunbartonshire,Argyll & Bute,225604,704159
0915579,Slight,05-Jan-20,1,2020,1,1,Driver/Rider,Male,55,Fife,Fife,317996,691905
0915582,Serious,03-Jan-20,1,2020,1,1,Passenger/Pillion,Male,2,North East,Aberdeenshire,386839,780100
0915582,Slight,03-Jan-20,1,2020,1,4,Driver/Rider,Male,83,North East,Aberdeenshire,386839,780100
0915582,Slight,03-Jan-20,1,2020,2,2,Driver/Rider,Female,28,North East,Aberdeenshire,386839,780100
0915582,Slight,03-Jan-20,1,2020,2,3,Passenger/Pillion,Female,7,North East,Aberdeenshire,386839,780100
0915587,Slight,05-Jan-20,1,2020,1,1,Pedestrian,Female,33,Greater Glasgow,Glasgow City,254566,669742
0916046,Slight,06-Jan-20,1,2020,1,1,Driver/Rider,Male,42,Lanarkshire,North Lanarkshire,271571,658182
0916046,Slight,06-Jan-20,1,2020,1,2,Passenger/Pillion,Female,40,Lanarkshire,North Lanarkshire,271571,658182
0916052,Slight,06-Jan-20,1,2020,1,1,Driver/Rider,Male,43,Lanarkshire,South Lanarkshire,270569,656068
0916055,Serious,06-Jan-20,1,2020,1,1,Pedestrian,Male,46,Lanarkshire,North Lanarkshire,275314,673757
0916087,Fatal,05-Jan-20,1,2020,1,1,Passenger/Pillion,Male,29,Tayside,Perth & Kinross,313545,695808
0916148,Serious,01-Jan-20,1,2020,2,1,Driver/Rider,Male,51,Greater Glasgow,Glasgow City,267072,664769
0916302,Slight,07-Jan-20,1,2020,2,1,Driver/Rider,Female,59,Forth Valley,Falkirk,285293,683116
0916349,Slight,07-Jan-20,1,2020,1,1,Pedestrian,Female,81,Tayside,Dundee City,337895,731547
0916399,Serious,07-Jan-20,1,2020,1,1,Driver/Rider,Female,53,Forth Valley,Falkirk,288130,682732
0916404,Serious,03-Jan-20,1,2020,2,1,Passenger/Pillion,Female,62,North East,Aberdeenshire,410608,845694
0916546,Slight,07-Jan-20,1,2020,2,1,Driver/Rider,Male,27,Lanarkshire,South Lanarkshire,272220,654916
0916567,Slight,07-Jan-20,1,2020,2,1,Driver/Rider,Female,71,Highland and Islands,Highland,267305,887610
0916582,Slight,05-Jan-20,1,2020,1,1,Pedestrian,Male,7,Fife,Fife,317978,697422
0916591,Fatal,07-Jan-20,1,2020,1,1,Pedestrian,Male,63,Edinburgh,City of Edinburgh,319082,674899
0916663,Serious,08-Jan-20,1,2020,2,1,Driver/Rider,Male,35,Edinburgh,City of Edinburgh,327145,670473
0916699,Slight,04-Jan-20,1,2020,1,1,Pedestrian,Male,4,Edinburgh,City of Edinburgh,324975,672774
0916713,Serious,05-Jan-20,1,2020,1,1,Driver/Rider,Male,15,The Lothians and Scottish Borders,West Lothian,305933,671374
0916965,Slight,07-Jan-20,1,2020,2,1,Driver/Rider,Female,57,Ayrshire,North Ayrshire,223499,643220
0917024,Slight,07-Jan-20,1,2020,1,1,Driver/Rider,Female,32,Argyll and West Dunbartonshire,West Dunbartonshire,249776,671559
0917055,Slight,07-Jan-20,1,2020,2,1,Driver/Rider,Female,34,Greater Glasgow,Glasgow City,254221,666457
0917057,Slight,07-Jan-20,1,2020,2,1,Driver/Rider,Female,52,Greater Glasgow,Glasgow City,257315,660052
0917062,Slight,08-Jan-20,1,2020,1,1,Pedestrian,Male,11,Edinburgh,City of Edinburgh,328587,668007
0917079,Serious,08-Jan-20,1,2020,1,1,Driver/Rider,Male,21,Tayside,Dundee City,343063,731729
0917085,Slight,08-Jan-20,1,2020,1,1,Pedestrian,Female,20,Lanarkshire,South Lanarkshire,263201,653188
0917093,Serious,08-Jan-20,1,2020,1,1,Driver/Rider,Male,21,Greater Glasgow,Glasgow City,256861,663311
0917093,Slight,08-Jan-20,1,2020,1,2,Passenger/Pillion,Male,22,Greater Glasgow,Glasgow City,256861,663311
0917101,Serious,08-Jan-20,1,2020,1,1,Driver/Rider,Male,41,The Lothians and Scottish Borders,West Lothian,304052,667393
0917101,Fatal,08-Jan-20,1,2020,2,2,Driver/Rider,Female,45,The Lothians and Scottish Borders,West Lothian,304052,667393
0917101,Serious,08-Jan-20,1,2020,2,3,Passenger/Pillion,Female,19,The Lothians and Scottish Borders,West Lothian,304052,667393
0917101,Slight,08-Jan-20,1,2020,3,4,Passenger/Pillion,Female,4,The Lothians and Scottish Borders,West Lothian,304052,667393
0917101,Slight,08-Jan-20,1,2020,3,5,Driver/Rider,Male,39,The Lothians and Scottish Borders,West Lothian,304052,667393
0917234,Slight,06-Jan-20,1,2020,1,1,Driver/Rider,Male,26,Renfrewshire and Inverclyde,Renfrewshire,244931,669271
0917488,Slight,06-Jan-20,1,2020,1,1,Pedestrian,Female,32,Edinburgh,City of Edinburgh,325693,673747
0917497,Fatal,09-Jan-20,1,2020,1,1,Pedestrian,Male,86,The Lothians and Scottish Borders,East Lothian,344087,668911
0917513,Slight,09-Jan-20,1,2020,1,1,Driver/Rider,Female,48,North East,Aberdeenshire,386136,826940
0917517,Serious,06-Jan-20,1,2020,2,1,Driver/Rider,Female,18,Fife,Fife,338365,701019
0917517,Slight,06-Jan-20,1,2020,2,2,Passenger/Pillion,Female,19,Fife,Fife,338365,701019
0917523,Slight,07-Jan-20,1,2020,2,1,Driver/Rider,Female,13,Lanarkshire,North Lanarkshire,272251,665864
0917541,Slight,09-Jan-20,1,2020,1,1,Pedestrian,Male,69,Lanarkshire,North Lanarkshire,275248,656719
0917548,Slight,09-Jan-20,1,2020,1,1,Pedestrian,Female,49,Tayside,Angus,345705,750389
0917552,Serious,03-Jan-20,1,2020,1,1,Passenger/Pillion,Female,23,Highland and Islands,Highland,202585,761453
0917552,Slight,03-Jan-20,1,2020,2,2,Driver/Rider,Male,32,Highland and Islands,Highland,202585,761453
0917560,Slight,09-Jan-20,1,2020,2,1,Passenger/Pillion,Male,27,Edinburgh,City of Edinburgh,326723,675016
0917560,Slight,09-Jan-20,1,2020,2,2,Driver/Rider,Male,35,Edinburgh,City of Edinburgh,326723,675016
0917564,Serious,09-Jan-20,1,2020,1,1,Driver/Rider,Female,19,The Lothians and Scottish Borders,Scottish Borders,352686,635301
0917568,Slight,10-Jan-20,1,2020,1,1,Driver/Rider,Male,25,Tayside,Perth & Kinross,292607,710286
0917572,Slight,01-Jan-20,1,2020,1,1,Pedestrian,Male,26,Forth Valley,Falkirk,286666,680557
0917625,Slight,10-Jan-20,1,2020,1,1,Pedestrian,Female,25,Greater Glasgow,Glasgow City,253858,666018
0917792,Serious,10-Jan-20,1,2020,1,1,Driver/Rider,Female,26,Forth Valley,Stirling,284194,690408
0917792,Slight,10-Jan-20,1,2020,1,2,Passenger/Pillion,Female,5,Forth Valley,Stirling,284194,690408
0917795,Slight,08-Jan-20,1,2020,1,1,Pedestrian,Female,55,Ayrshire,North Ayrshire,190997,629463
0917795,Slight,08-Jan-20,1,2020,1,2,Pedestrian,Female,30,Ayrshire,North Ayrshire,190997,629463
0917801,Slight,10-Jan-20,1,2020,1,1,Driver/Rider,Female,20,Lanarkshire,South Lanarkshire,279920,648936
0917837,Serious,10-Jan-20,1,2020,1,1,Driver/Rider,Female,28,Greater Glasgow,Glasgow City,257683,661639
0917849,Fatal,05-Jan-20,1,2020,1,1,Pedestrian,Male,47,Lanarkshire,South Lanarkshire,270264,656070
0917857,Slight,09-Jan-20,1,2020,1,1,Driver/Rider,Female,21,Greater Glasgow,Glasgow City,251176,670931
0917923,Slight,10-Jan-20,1,2020,1,1,Pedestrian,Male,13,Renfrewshire and Inverclyde,Renfrewshire,246512,661374
0917945,Slight,10-Jan-20,1,2020,2,1,Driver/Rider,Female,29,Greater Glasgow,Glasgow City,261251,663281
0917945,Slight,10-Jan-20,1,2020,3,2,Driver/Rider,Male,43,Greater Glasgow,Glasgow City,261251,663281
0917945,Slight,10-Jan-20,1,2020,4,3,Driver/Rider,Female,48,Greater Glasgow,Glasgow City,261251,663281
0917945,Slight,10-Jan-20,1,2020,4,4,Passenger/Pillion,Female,55,Greater Glasgow,Glasgow City,261251,663281
0917953,Slight,08-Jan-20,1,2020,2,1,Driver/Rider,Male,29,Greater Glasgow,Glasgow City,258676,661355
0917954,Serious,10-Jan-20,1,2020,1,1,Driver/Rider,Female,65,Forth Valley,Stirling,275465,696761
0917954,Serious,10-Jan-20,1,2020,1,2,Passenger/Pillion,Female,5,Forth Valley,Stirling,275465,696761
0917954,Slight,10-Jan-20,1,2020,2,3,Driver/Rider,Male,56,Forth Valley,Stirling,275465,696761
0917959,Serious,10-Jan-20,1,2020,1,1,Pedestrian,Female,81,Lanarkshire,South Lanarkshire,287893,643771
0917970,Slight,10-Jan-20,1,2020,1,1,Pedestrian,Male,46,Ayrshire,South Ayrshire,233654,622050
0917972,Slight,10-Jan-20,1,2020,2,1,Driver/Rider,Male,32,Greater Glasgow,Glasgow City,259502,660676
0917973,Slight,10-Jan-20,1,2020,2,1,Driver/Rider,Female,20,Greater Glasgow,Glasgow City,260150,662803
0917974,Slight,10-Jan-20,1,2020,1,1,Pedestrian,Female,59,Greater Glasgow,Glasgow City,252616,668169
0917979,Slight,10-Jan-20,1,2020,2,1,Driver/Rider,Female,74,Highland and Islands,Highland,260003,863782
0918033,Slight,11-Jan-20,1,2020,1,1,Driver/Rider,Male,40,Fife,Fife,305588,688888
0918060,Slight,09-Jan-20,1,2020,1,1,Driver/Rider,Male,40,Renfrewshire and Inverclyde,Renfrewshire,246060,662229
0918071,Slight,11-Jan-20,1,2020,1,1,Driver/Rider,Male,69,Lanarkshire,South Lanarkshire,279437,642905
0918096,Serious,10-Jan-20,1,2020,1,1,Pedestrian,Female,69,Edinburgh,City of Edinburgh,312356,678670
0918101,Serious,07-Jan-20,1,2020,1,1,Driver/Rider,Male,34,The Lothians and Scottish Borders,East Lothian,369858,676486
0918109,Serious,10-Jan-20,1,2020,1,1,Pedestrian,Female,60,Ayrshire,North Ayrshire,223370,642876
0918125,Slight,10-Jan-20,1,2020,1,1,Pedestrian,Male,29,Lanarkshire,North Lanarkshire,272082,677506
0918127,Serious,11-Jan-20,1,2020,1,1,Pedestrian,Female,64,Greater Glasgow,Glasgow City,259359,665240
0918154,Serious,11-Jan-20,1,2020,1,1,Pedestrian,Male,56,Greater Glasgow,Glasgow City,258811,665641
0918156,Serious,11-Jan-20,1,2020,1,1,Driver/Rider,Female,73,Lanarkshire,South Lanarkshire,268972,661501
0918166,Slight,11-Jan-20,1,2020,2,1,Driver/Rider,Female,37,Greater Glasgow,Glasgow City,252164,664129
0918166,Slight,11-Jan-20,1,2020,2,2,Passenger/Pillion,Female,12,Greater Glasgow,Glasgow City,252164,664129
0918169,Slight,11-Jan-20,1,2020,1,1,Pedestrian,Male,17,Dumfries and Galloway,Dumfries & Galloway,276623,562564
0918197,Slight,12-Jan-20,1,2020,1,1,Driver/Rider,Male,48,Fife,Fife,336695,712300
0918197,Slight,12-Jan-20,1,2020,1,2,Passenger/Pillion,Male,40,Fife,Fife,336695,712300
0918202,Serious,10-Jan-20,1,2020,2,1,Driver/Rider,Female,39,Greater Glasgow,Glasgow City,259303,663625
0918225,Slight,10-Jan-20,1,2020,1,1,Pedestrian,Female,24,Greater Glasgow,Glasgow City,259515,659716
0918226,Slight,12-Jan-20,1,2020,2,1,Driver/Rider,Male,73,Forth Valley,Falkirk,293863,677008
0918266,Slight,04-Jan-20,1,2020,2,1,Passenger/Pillion,Female,20,Highland and Islands,Highland,289010,902895
0918280,Fatal,10-Jan-20,1,2020,1,1,Driver/Rider,Male,80,North East,Aberdeenshire,384265,782895
0918280,Serious,10-Jan-20,1,2020,2,2,Driver/Rider,Male,45,North East,Aberdeenshire,384265,782895
0918286,Slight,10-Jan-20,1,2020,1,1,Pedestrian,Female,12,Ayrshire,East Ayrshire,242938,637608
0918299,Serious,07-Jan-20,1,2020,1,1,Pedestrian,Female,62,Tayside,Angus,371444,757860
0918300,Slight,12-Jan-20,1,2020,1,1,Driver/Rider,Male,19,The Lothians and Scottish Borders,Midlothian,322618,662075
0918302,Slight,12-Jan-20,1,2020,1,1,Driver/Rider,Male,31,Tayside,Angus,335363,733828
0918308,Slight,10-Jan-20,1,2020,2,1,Driver/Rider,Female,52,Tayside,Dundee City,343831,732675
0918308,Slight,10-Jan-20,1,2020,2,2,Passenger/Pillion,Female,48,Tayside,Dundee City,343831,732675
0918310,Serious,12-Jan-20,1,2020,2,1,Driver/Rider,Female,39,Lanarkshire,North Lanarkshire,280188,657254
0918354,Slight,01-Jan-20,1,2020,1,1,Driver/Rider,Male,29,Highland and Islands,Highland,224517,790310
0918461,Slight,12-Jan-20,1,2020,2,1,Driver/Rider,Male,28,Greater Glasgow,Glasgow City,260516,664766
0918640,Slight,08-Jan-20,1,2020,2,1,Passenger/Pillion,Female,46,Greater Glasgow,Glasgow City,258351,664040
0918640,Slight,08-Jan-20,1,2020,2,2,Driver/Rider,Male,53,Greater Glasgow,Glasgow City,258351,664040
0918780,Slight,13-Jan-20,1,2020,1,1,Pedestrian,Male,20,Greater Glasgow,Glasgow City,254852,663089
0918783,Slight,13-Jan-20,1,2020,1,1,Driver/Rider,Male,35,Argyll and West Dunbartonshire,Argyll & Bute,225539,704162
0918783,Slight,13-Jan-20,1,2020,1,2,Passenger/Pillion,Male,41,Argyll and West Dunbartonshire,Argyll & Bute,225539,704162
0918784,Slight,10-Jan-20,1,2020,2,1,Passenger/Pillion,Female,60,Greater Glasgow,Glasgow City,261063,667519
0918786,Serious,06-Jan-20,1,2020,1,1,Driver/Rider,Male,39,Highland and Islands,Highland,232691,802093
0918794,Serious,14-Jan-20,1,2020,1,1,Passenger/Pillion,Female,68,Greater Glasgow,Glasgow City,263529,662453
0918794,Slight,14-Jan-20,1,2020,1,2,Driver/Rider,Male,72,Greater Glasgow,Glasgow City,263529,662453
0918795,Slight,13-Jan-20,1,2020,1,1,Passenger/Pillion,Female,17,Lanarkshire,North Lanarkshire,270156,666491
0918804,Slight,13-Jan-20,1,2020,1,1,Driver/Rider,Female,34,Forth Valley,Falkirk,279144,679683
0919224,Serious,14-Jan-20,1,2020,1,1,Passenger/Pillion,Female,85,Edinburgh,City of Edinburgh,325293,674208
0919243,Slight,13-Jan-20,1,2020,2,1,Driver/Rider,Male,16,Fife,Fife,316863,691048
0919310,Slight,12-Jan-20,1,2020,1,2,Passenger/Pillion,Female,38,Greater Glasgow,Glasgow City,266732,666500
0919310,Slight,12-Jan-20,1,2020,1,3,Passenger/Pillion,Female,12,Greater Glasgow,Glasgow City,266732,666500
0919310,Slight,12-Jan-20,1,2020,1,4,Passenger/Pillion,Female,10,Greater Glasgow,Glasgow City,266732,666500
0919310,Slight,12-Jan-20,1,2020,2,1,Driver/Rider,Female,33,Greater Glasgow,Glasgow City,266732,666500
0919481,Slight,15-Jan-20,1,2020,1,2,Driver/Rider,Male,54,Highland and Islands,Highland,315552,959419
0919495,Slight,15-Jan-20,1,2020,1,1,Pedestrian,Female,56,Greater Glasgow,Glasgow City,259055,665849
0919562,Serious,15-Jan-20,1,2020,1,1,Pedestrian,Male,5,Tayside,Perth & Kinross,310871,722613
0919717,Serious,15-Jan-20,1,2020,1,1,Pedestrian,Male,12,Lanarkshire,North Lanarkshire,272825,663597
0919726,Slight,15-Jan-20,1,2020,2,1,Driver/Rider,Female,45,Lanarkshire,North Lanarkshire,273313,662601
0919746,Serious,15-Jan-20,1,2020,1,1,Pedestrian,Male,38,Edinburgh,City of Edinburgh,319713,672984
0919752,Slight,15-Jan-20,1,2020,3,3,Driver/Rider,Male,37,Ayrshire,North Ayrshire,230979,642646
0919757,Serious,12-Jan-20,1,2020,1,1,Driver/Rider,Male,17,The Lothians and Scottish Borders,Scottish Borders,388332,652598
0919757,Serious,12-Jan-20,1,2020,1,2,Passenger/Pillion,Male,16,The Lothians and Scottish Borders,Scottish Borders,388332,652598
0919758,Slight,09-Jan-20,1,2020,1,1,Driver/Rider,Female,70,Lanarkshire,South Lanarkshire,260153,660796
0919760,Slight,15-Jan-20,1,2020,1,1,Pedestrian,Female,10,Fife,Fife,311185,683534
0919761,Serious,14-Jan-20,1,2020,1,1,Passenger/Pillion,Female,24,Argyll and West Dunbartonshire,West Dunbartonshire,238597,675760
0919761,Slight,14-Jan-20,1,2020,1,2,Passenger/Pillion,Male,28,Argyll and West Dunbartonshire,West Dunbartonshire,238597,675760
0919763,Slight,15-Jan-20,1,2020,1,1,Driver/Rider,Male,31,Tayside,Angus,359392,761421
0919763,Serious,15-Jan-20,1,2020,2,2,Driver/Rider,Male,48,Tayside,Angus,359392,761421
0920030,Slight,16-Jan-20,1,2020,1,1,Pedestrian,Male,12,Lanarkshire,South Lanarkshire,263059,661021
0920048,Slight,16-Jan-20,1,2020,1,1,Pedestrian,Male,59,Renfrewshire and Inverclyde,Renfrewshire,249874,663898
0920123,Slight,16-Jan-20,1,2020,1,1,Pedestrian,Male,64,Edinburgh,City of Edinburgh,326696,674490
0920126,Serious,16-Jan-20,1,2020,1,1,Pedestrian,Male,15,Ayrshire,North Ayrshire,226611,642037
0920132,Slight,16-Jan-20,1,2020,1,1,Driver/Rider,Male,55,Forth Valley,Stirling,253601,681444
0920132,Slight,16-Jan-20,1,2020,1,3,Passenger/Pillion,Female,54,Forth Valley,Stirling,253601,681444
0920132,Serious,16-Jan-20,1,2020,3,2,Driver/Rider,Female,78,Forth Valley,Stirling,253601,681444
0920137,Slight,15-Jan-20,1,2020,2,1,Passenger/Pillion,Female,11,Forth Valley,Stirling,279980,692337
0920147,Slight,16-Jan-20,1,2020,1,1,Driver/Rider,Male,56,Forth Valley,Clackmannanshire,289340,696086
0920157,Slight,16-Jan-20,1,2020,1,1,Driver/Rider,Male,33,Edinburgh,City of Edinburgh,321195,668623
0920219,Serious,17-Jan-20,1,2020,2,1,Driver/Rider,Male,36,Fife,Fife,311426,684062
0920242,Serious,15-Jan-20,1,2020,2,1,Driver/Rider,Female,18,Renfrewshire and Inverclyde,Renfrewshire,244340,664294
0920250,Slight,11-Jan-20,1,2020,1,1,Pedestrian,Male,11,Dumfries and Galloway,Dumfries & Galloway,297618,575875
0920303,Slight,16-Jan-20,1,2020,1,1,Pedestrian,Male,16,Tayside,Dundee City,343029,731654
0920363,Serious,17-Jan-20,1,2020,1,1,Driver/Rider,Male,59,Tayside,Perth & Kinross,308133,740158
0920363,Slight,17-Jan-20,1,2020,2,2,Driver/Rider,Male,57,Tayside,Perth & Kinross,308133,740158
0920363,Slight,17-Jan-20,1,2020,2,3,Passenger/Pillion,Male,27,Tayside,Perth & Kinross,308133,740158
0920405,Slight,15-Jan-20,1,2020,2,1,Driver/Rider,Male,37,North East,Aberdeen City,393454,806964
0920432,Slight,16-Jan-20,1,2020,2,1,Driver/Rider,Female,27,Greater Glasgow,Glasgow City,253437,669004
0920436,Slight,07-Jan-20,1,2020,2,1,Passenger/Pillion,Male,3,Greater Glasgow,Glasgow City,255379,660315
0920436,Slight,07-Jan-20,1,2020,2,2,Driver/Rider,Male,30,Greater Glasgow,Glasgow City,255379,660315
0920472,Slight,16-Jan-20,1,2020,1,1,Driver/Rider,Female,19,Edinburgh,City of Edinburgh,324812,673179
0920474,Slight,17-Jan-20,1,2020,1,1,Pedestrian,Male,29,North East,Aberdeen City,393123,807448
0920475,Serious,17-Jan-20,1,2020,1,1,Pedestrian,Female,19,Argyll and West Dunbartonshire,West Dunbartonshire,241327,675166
0920495,Slight,17-Jan-20,1,2020,2,1,Driver/Rider,Female,49,Edinburgh,City of Edinburgh,324160,676435
0920517,Slight,17-Jan-20,1,2020,1,1,Driver/Rider,Female,28,The Lothians and Scottish Borders,Midlothian,333484,667608
0920521,Slight,16-Jan-20,1,2020,1,2,Driver/Rider,Female,59,Fife,Fife,304525,689026
0920521,Slight,16-Jan-20,1,2020,2,1,Driver/Rider,Female,74,Fife,Fife,304525,689026
0920540,Slight,17-Jan-20,1,2020,1,1,Driver/Rider,Male,48,The Lothians and Scottish Borders,East Lothian,374018,674768
0920553,Serious,06-Jan-20,1,2020,1,1,Pedestrian,Female,8,Fife,Fife,325980,702101
0920554,Slight,18-Jan-20,1,2020,1,1,Driver/Rider,Female,25,Highland and Islands,Highland,252858,843920
0920570,Serious,18-Jan-20,1,2020,2,1,Driver/Rider,Male,49,Fife,Fife,303891,686236
0920595,Slight,18-Jan-20,1,2020,1,1,Driver/Rider,Female,66,Greater Glasgow,Glasgow City,255070,669606
0920620,Slight,18-Jan-20,1,2020,2,1,Driver/Rider,Female,51,Greater Glasgow,Glasgow City,257984,665299
0920620,Slight,18-Jan-20,1,2020,2,2,Passenger/Pillion,Female,26,Greater Glasgow,Glasgow City,257984,665299
0920620,Slight,18-Jan-20,1,2020,2,3,Passenger/Pillion,Male,20,Greater Glasgow,Glasgow City,257984,665299
0920622,Slight,17-Jan-20,1,2020,2,1,Driver/Rider,Male,18,Edinburgh,City of Edinburgh,326640,671359
0920629,Serious,17-Jan-20,1,2020,2,1,Driver/Rider,Female,31,Forth Valley,Falkirk,291326,679432
0920630,Slight,18-Jan-20,1,2020,1,1,Pedestrian,Male,36,Tayside,Dundee City,339203,733753
0920631,Serious,18-Jan-20,1,2020,2,1,Driver/Rider,Male,61,The Lothians and Scottish Borders,Midlothian,325931,663359
0920634,Slight,18-Jan-20,1,2020,1,1,Driver/Rider,Female,20,Forth Valley,Falkirk,288728,681255
0920634,Slight,18-Jan-20,1,2020,1,2,Passenger/Pillion,Male,21,Forth Valley,Falkirk,288728,681255
0920635,Serious,17-Jan-20,1,2020,1,2,Passenger/Pillion,Female,16,Ayrshire,East Ayrshire,240742,640588
0920635,Serious,17-Jan-20,1,2020,2,1,Driver/Rider,Female,22,Ayrshire,East Ayrshire,240742,640588
